魔女语        , 含义                                          , 词源/备注
Conjuctions   , 日语接续词（连词）                            , 
Iz'u          , 是；表示动作、状态或主题                      , 原型为英语“is”
oF            , 的；表示所属关系                              , 原型为英语“of”
N'o           , 的；含义比“oF”更宽泛                          , 日语假名“の”的罗马音
S~ond'        , 然后；而，又，而且                            , 
Owk           , 或者；或许；否则                              , 
aSte          , 作为;...的时候;随着                           , 英语“as”+日语“て(te)”
SiVa          , 然而，但是                                    , 
BuggAh        , 但是                                          , 可是（否定意味更强），英语“but”+日语“が(ga)”
KaRause       , 因此，所以                                    , 日语“から(kara)”+英语“because”
aZaGara       , 一边……一边……；尽管……仍然……                    , 日语“ながら(nagara)”
itsWA         , 到此为止                                      , 
Ca-nay        , 做不到                                        , 英语“can”+日语“ない(nai)”
Ca-nan        , 能做到                                        , 英语“can”
ShouBeK       , 应该做                                        , 英语“should”+日语“べき(beki)”
meKaMo        , 也许，可能                                    , 英语“maybe”+日语“かも(kamo)”
DiGhT         , 表推量、反问、推测、假设；定会……              , 英语“right”+日语“だろう(darou)”
Ada           , 那个                                          , 
Ado           , 这个                                          , 
Eda           , 那里                                          , 
Edo           , 这里                                          , 
WAirTell      , 第一人称，我                                  , 
rAwTell       , 第二人称，你                                  , 
ObTell        , 第三人称，他/她/它                            , 
Eleden        , 是谁也好；无论是谁                            , 
Lai Nei       , 好像；如同···                                 , 
Bah           , 表示强调该词前的单词                          , 
oRei          , 表示该词前的单词的命令形                      , 英语“order”+日语“命令(meirei)”
LaVI          , 法(律)的恶魔                                  , 英语“law”+“Devil”
hung gement   , 判决                                          , 日语“判决(hanketsu)”+英语“judgement”
pris'jeen     , 囚犯                                          , 英语“prison”+日语“囚人(shūjin)”
LowhEll       , 牢狱，监狱                                    , 日语“牢獄(rōgoku)”+英语“hell”
Guil-me       , 罪，罪行，罪孽                                , 英语“guilty”+日语“罪(tsumi)”
senty-hungment, 裁判，审判，审理                              , “判决”的变体
sent-ky       , 裁判，审判，解析，判断，分辨                  , 英语“sentence”+日语“裁き(sabaki)”
horMELT       , 法槌                                          , 英语“gavel”?
Coa Tain      , 法庭                                          , 英语“court”+日语“法廷(hōtei)”
KeI·tion      , 处刑                                          , 日语“処刑(shokei)”+英语“execution”
DArime        , 断罪                                          , 日语“断罪(danzai)”+英语“crime”
Syu Tain      , 休庭                                          , 发音近中文“休庭”
cOnzAI        , 有罪                                          , 英语“convict”+日语“断罪(danzai)”
shi-des       , 死亡                                          , 日语“死(shi)”+英语“death”
MEif          , 生命                                          , 日语“命(mei)”+英语“life”
TOK           , 男性                                          , 日语“男(otoko)”
JIO           , 女性                                          , 日语“女(jo)”
litt JIO      , 少女                                          , 英语“little”+“JIO”
ievil JIO     , 魔女                                          , 英语“evil”+“JIO”
Divil JIO     , 大魔女                                        , 英语“devil”或日语“大(dai)”+“evil JIO”
eXi'          , 存在                                          , 英语“exist”
ChiDd         , 血                                            , 日语“血(chi)”+英语“blood”
muRm          , 杀人                                          , 英语“murder”
muRdon        , 杀人犯                                        , “murder”变体
muRmon        , 杀人魔                                        , 英语“murder”+“demon”
En-NOte       , 下场，末路；魔女的“残骸”                      , 英语“end”+日语“成れの果て(nare no hate)”
hison'        , 人类                                          , 日语“人(hito)”+英语“person”
ieyWOO        , 现在，此刻；现代；如今                        , 表时间
To-ya-ya      , 今夜                                          , 英语“tonight”+日语“今夜(konya)”
Toim          , 时间                                          , 日语“時(toki)”+英语“time”
Jus·tom       , 瞬间                                          , 英语“just”+“Toim”
Kast          , 过去                                          , 日语“過去(kako)”+英语“past”
zanCrue       , 残酷、残忍(的行为)                            , 日语“残虐(zangyaku)”+英语“cruel”
merc·lee      , 慈悲                                          , 英语“mercy”
dEs·lee       , 绝望                                          , 英语“despair”
PyusenS'e     , 无垢，无污点，纯洁                            , 英语“pure”
DowGuil       , 疑惑，疑虑                                    , 英语“doubt”+日语“疑惑(giwaku)”
Say mAl       , 正常                                          , 日语“正常(seijō)”+英语“normal”
anxAn         , 不安，担心；焦虑                              , 英语“anxious”+日语“不安(fuan)”
showroof      , 证明，证实；证据                              , 日语“証明(shōmei)”+英语“proof”
Sar-gedy      , 惨剧，惨案，悲惨事件                          , 日语“惨劇(sangeki)”+英语“tragedy”
SaiVI         , 灾祸，灾难                                    , 日语“災(sai)”+“VI(恶魔)”
Jiell         , 地狱                                          , 日语“地獄(jigoku)”+英语“hell”
FineNd        , 临终，绝命之际；结束，终点                    , 法语“fin”+英语“end”
yu-Range      , 果实，水果                                    , 英语“orange”? + 日语
GE-mon        , 门，大门；出入口                              , 英语“gate”+日语“門(mon)”
blasTOac      , 冒渎，亵渎                                    , 英语“Blasphemous”+日语“冒涜(bōtoku)”
mu·Yon        , 正面；另一侧；那边；对方；从今以后            , 日语“向こう(mukō)”+英语“yon”
zanfession    , 忏悔                                          , 日语“懺悔(zange)”+英语“confession”
pray·lee      , 祈祷                                          , 英语“pray”
sinruits      , 真实，事实                                    , 英语“sin”+“fruits”? 罪恶的果实
to-Bi         , 最坏，最糟，最不利                            , 英语“to be”? 或表“未来”
Taven         , 天堂；乐园                                    , 日语“天国(tengoku)”+英语“heaven”
Hir           , 能够飞行的(生物)；飞升；超脱                  , 原始日耳曼语“hibin-”? 表“天空”
Tei-Tance     , 抵抗                                          , 日语“抵抗(teikō)”+英语“resistance”
WiD           , 世界                                          , 英语“world”的缩略
PaiTum        , 痛楚，悲痛                                    , 英语“pain”+日语“痛み(itami)”
MeMe          , 意义；动机；价值                              , 英语“meaning”+日语“意味(imi)”
FuWana        , 花朵                                          , 英语“flower”+日语“花(hana)”
fOre          , 准确；可靠                                    , 英语“for sure”的缩略
KetZen        , 结尾，终结；(最后的)结果，结局                , 日语“結末(ketsumatsu)”
AccU          , 告发，检举，揭发                              , 英语“accuse”的截取
KolSu         , 声音                                          , 日语“声(koe)”+日式英语“noise”
DaRk rai      , 黑暗；昏暗的                                  , 英语“dark”+日语“暗い(kurai)”
Sen-choose    , 选择项                                        , 日语“選択肢(sentakushi)”+英语“choose”
SurC          , 生存                                          , 英语“survive”
Kei-P         , 继续，接续                                    , 日语“継続(keizoku)”
Co-Jundic     , 矛盾                                          , 英语“contradiction”+日语“矛盾(mujun)”
ULieSo        , 谎言                                          , 日语“噓(uso)”中插入英语“lie”
Memoid        , 记忆；回忆；纪念                              , 英语“memory”+日语“思い出(omoide)”
Per·SemOn     , 杂耍;出洋相;当众出丑                          , 英语“performance”+日语“見世物(misemono)”
mayCtION      , 鸣动，轰隆作响                                , 日语“鳴動(meidō)”
sAiMoku       , 沉默，寂静                                    , 英语“silence”+日语“沈黙(chinmoku)”
E-gOtable     , 心情，感觉                                    , 日语“居心地(igokochi)”+“table”?
a-Wet         , 汗；返潮；努力                                , 日语“汗(ase)”+英语“wet”
AyAmis        , 过失，罪过；错误，失败                        , 日语“過ち(ayamachi)”+英语“mistake”
LyuzUn        , 理由，缘故；借口                              , 日语“理由(riyū)”+英语“reason”
JokeDan       , 玩笑，戏言，笑话                              , 英语“joke”+日语“冗談(jōdan)”
We-Ho         , 方法；办法                                    , 英语“way”+日语”方法(hōhō)”
showence      , 证据，证明                                    , 日语“証拠 (shōko)”+英语“evidence”
KeyGa         , 钥匙                                          , 英语“key”+日语“鍵(kagi)”
FayO          , 面孔；表情，神色                              , 英语“face”+日语“顔(kao)”
CalmSey       , 沉着，清醒，冷静                              , 英语“calm”+日语“冷静(reisei)”
ShiFey        , 失败                                          , 日语“失敗(shippai)”+英语“fail”
Zelln         , 全体人员                                      , 日语“全員(zennin)”+英语“all”
